city,gender,age,practice_traditional_food,health_factor
Jakarta,Female,28,Neither agree nor disagree,Strongly Agree
Jakarta,Male,30,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Male,61,Strongly Agree,Strongly Agree
Jakarta,Male,26,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Male,27,Neither agree nor disagree,Neither agree nor disagree
Bandung,Male,31,Agree,Agree
Bandung,Female,36,Neither agree nor disagree,Neither agree nor disagree
Bandung,Male,56,Strongly Agree,Strongly Agree
Bandung,Male,63,Agree,Neither agree nor disagree
Bandung,Male,54,Neither agree nor disagree,Agree
Bandung,Female,36,Neither agree nor disagree,Strongly Agree
Bandung,Female,52,Neither agree nor disagree,Neither agree nor disagree
Bandung,Female,63,Neither agree nor disagree,Neither agree nor disagree
Bandung,Female,54,Disagree,Disagree
Bandung,Female,30,Neither agree nor disagree,Neither agree nor disagree
Bandung,Female,43,Strongly Agree,Disagree
Bandung,Female,29,Agree,Agree
Bandung,Female,36,Neither agree nor disagree,Neither agree nor disagree
Bandung,Male,33,Disagree,Disagree
Bandung,Male,60,Neither agree nor disagree,Neither agree nor disagree
Bandung,Male,54,Agree,Agree
Bandung,Female,30,Neither agree nor disagree,Neither agree nor disagree
Bandung,Female,45,Agree,Agree
Bandung,Male,32,Neither agree nor disagree,Neither agree nor disagree
Bandung,Male,25,Neither agree nor disagree,Neither agree nor disagree
Bandung,Male,31,Neither agree nor disagree,Neither agree nor disagree
Bandung,Female,27,Strongly Agree,Strongly Agree
Bandung,Male,52,Strongly Agree,Strongly Agree
Bandung,Female,60,Strongly Agree,Strongly Agree
Bandung,Female,25,Agree,Agree
Bandung,Female,31,Agree,Agree
Bandung,Female,36,Agree,Disagree
Bandung,Female,34,Agree,Agree
Bandung,Female,64,Agree,Agree
Bandung,Female,24,Agree,Agree
Bandung,Female,47,Agree,Neither agree nor disagree
Bandung,Female,28,Agree,Agree
Bandung,Female,48,Agree,Agree
Bandung,Male,26,Agree,Neither agree nor disagree
Bandung,Male,39,Agree,Agree
Bandung,Male,53,Neither agree nor disagree,Strongly Agree
Bandung,Male,57,Agree,Neither agree nor disagree
Bandung,Female,46,Disagree,Disagree
Bandung,Male,53,Agree,Agree
Bandung,Male,58,Agree,Disagree
Bandung,Male,50,Agree,Agree
Bandung,Female,54,Strongly Agree,Strongly Agree
Bandung,Female,49,Strongly Agree,Strongly Agree
Bandung,Female,23,Strongly Agree,Neither agree nor disagree
Bandung,Female,41,Agree,Agree
Bandung,Female,62,Neither agree nor disagree,Strongly Agree
Bandung,Male,54,Strongly Agree,Agree
Bandung,Male,50,Agree,Agree
Bandung,Female,34,Neither agree nor disagree,Neither agree nor disagree
Bandung,Female,39,Neither agree nor disagree,Neither agree nor disagree
Bandung,Male,31,Neither agree nor disagree,Neither agree nor disagree
Bandung,Female,27,Neither agree nor disagree,Neither agree nor disagree
Bandung,Male,37,Disagree,Agree
Bandung,Male,56,Neither agree nor disagree,Neither agree nor disagree
Bandung,Male,54,Disagree,Strongly Agree
Bandung,Female,62,Neither agree nor disagree,Neither agree nor disagree
Bandung,Female,56,Neither agree nor disagree,Neither agree nor disagree
Bandung,Female,51,Neither agree nor disagree,Neither agree nor disagree
Bandung,Female,37,Agree,Agree
Bandung,Female,42,Disagree,Disagree
Bandung,Female,49,Agree,Agree
Bandung,Female,54,Neither agree nor disagree,Neither agree nor disagree
