id,name,calories,proteins,fat,carbohydrate
302,Daun Singkong lodeh,55.0,4.0,0.5,8.5
303,Daun Singkong rebus,31.0,3.7,0.6,4.8
304,Daun singkong segar,50.0,6.2,1.1,7.1
305,Daun Sintrong,36.0,2.6,0.9,6.1
306,Daun talas rebus,27.0,1.3,0.2,5.9
307,Daun talas segar,59.0,3.0,0.4,13.5
308,Daun Tales,71.0,4.1,2.1,12.3
309,Daun Tales rebus,27.0,1.3,0.2,5.9
310,Daun tespong segar,70.0,2.9,0.3,13.9
311,Daun Ubi Jalar,47.0,2.8,0.4,10.4
312,Daun Ubi Jalar kukus,56.0,3.1,0.3,13.0
313,Daun ubi kuning segar,62.0,3.7,0.3,11.1
314,Daun ubi merah kukus,56.0,3.1,0.3,13.0
315,Daun ubi merah segar,48.0,3.0,0.3,10.8
316,Daun ubi putih segar,46.0,2.8,0.2,8.2
317,Daun ubi tinta segar,55.0,1.7,0.1,11.9
318,Deblo ,260.0,2.0,15.0,53.0
319,Dendeng belut goreng,382.0,55.7,14.1,8.0
320,Dendeng Daging Sapi,433.0,55.0,9.0,0.0
321,Dendeng mujahir goreng,598.0,74.3,26.9,9.2
322,Dideh darah ayam,77.0,13.8,1.9,0.7
323,Dideh darah sapi,104.0,21.9,1.1,0.0
324,Djibokum masakan,248.0,10.0,2.3,40.9
325,Dodol,395.0,3.0,5.7,81.2
326,Dodol bali,298.0,3.7,2.1,65.9
327,Dodol banjarmasin,368.0,2.6,8.6,70.0
328,Dodol galamai,348.0,0.4,3.8,76.1
329,Dodol kedondong,331.0,1.9,7.6,63.8
330,Dodol manado,373.0,4.3,16.5,51.9
331,Dodonkol ,17.5,3.3,2.3,39.5
332,Domba daging gemuk segar,317.0,15.7,27.7,0.0
333,Domba daging kurus  segar,202.0,17.1,14.8,0.0
334,Domba ginjal segar,100.0,16.6,3.3,1.0
335,Duku,63.0,1.0,0.2,16.1
336,Durian,134.0,2.5,3.0,28.0
337,Duwet segar,80.0,0.5,0.6,18.2
338,Eceng Gondok,18.0,1.0,0.2,3.8
339,Embacang,98.0,1.4,0.2,25.4
340,Empal (daging) Goreng masakan,248.0,36.2,6.9,10.1
341,Empal Goreng,590.0,18.5,57.0,0.0
342,Emping (kerupuk melinjo),345.0,12.0,1.5,71.5
343,Emping beras,403.0,10.6,2.2,85.3
344,Emping komak,355.0,17.8,4.6,60.7
345,Encung asam segar,122.0,3.5,4.5,17.5
346,Enting-enting gepuk hello kity,538.0,13.6,30.3,52.6
347,Enting-enting gepuk kacang tanah,524.0,13.3,29.2,52.0
348,Enting-enting wijen,565.0,18.2,38.4,36.8
349,Erbis,70.0,0.6,0.0,18.9
350,Es krim,210.0,4.0,12.5,20.6
351,Es Krim (Coconut milk) ,156.7,3.0,1.7,32.7
352,Es Mambo ,152.0,0.0,0.0,37.6
353,Es Sirup ,44.8,0.0,0.0,11.3
354,Fillet o-fish,270.0,12.3,15.9,19.3
355,Gadeng/Gadung kering,322.0,2.4,0.6,76.6
356,Gado-gado,137.0,6.1,3.2,21.0
357,Gadung kukus,88.0,0.8,0.3,20.9
358,Gadung mentah,101.0,2.1,0.2,23.2
359,Gadung ubi kukus,88.0,0.6,0.3,20.9
360,Gadung ubi segar,100.0,0.9,0.3,23.5
361,Gambas (Oyong),18.0,0.8,0.2,4.1
362,Gambas lodeh,13.0,0.3,0.6,1.6
363,Gandaria,68.0,0.7,0.1,18.0
364,Ganyong kukus,100.0,0.8,0.2,23.8
365,Ganyong mentah,95.0,1.0,0.1,22.6
366,Ganyong rebus,100.0,0.8,0.2,23.8
367,Ganyong segar,77.0,0.6,0.2,18.4
368,Gaplek,338.0,1.5,0.7,81.3
369,Gatep segar,191.0,4.5,1.5,39.7
370,Gatot,347.0,1.3,0.7,83.8
371,Geblek,195.0,0.4,1.7,44.4
372,Gelatine,389.0,0.0,0.0,91.0
373,Gembili,95.0,1.5,0.1,22.4
374,Gembili ubi segar,131.0,1.1,0.2,31.3
375,Gemblong,274.0,1.7,5.4,55.5
376,Gendar goreng,407.0,6.4,28.2,32.0
377,Genjer segar,35.0,1.7,0.2,7.7
378,Geplak,350.0,1.4,14.4,53.6
379,Geplak jahe,462.0,3.1,24.4,57.7
380,Gete kuah asam masakan,75.0,8.2,2.0,6.0
381,Getuk goreng,360.0,1.3,6.4,74.3
382,Getuk Lindri ,171.4,4.0,4.0,32.0
383,Getuk pisang,144.0,1.1,0.4,34.1
384,Getuk singkong,204.0,0.5,1.4,47.4
385,Ginjal Babi,114.0,16.3,4.6,0.8
386,Ginjal Domba,105.0,16.6,3.3,1.0
387,Ginjal Sapi,141.0,15.0,8.1,0.9
388,Gudeg ,53.0,1.6,1.6,8.8
389,Gudeg sayur,160.0,3.3,9.2,16.0
390,Gula Aren,368.0,0.0,0.0,95.0
391,Gula Kelapa,386.0,3.0,10.0,76.0
392,Gula Merah Tebu belum dimurnikan,356.0,0.4,0.5,90.6
393,Gula putih,394.0,0.0,0.0,94.0
394,Gulai asam keueung masakan,52.0,10.0,0.5,1.8
395,Gulai ikan masakan,106.0,16.5,3.3,2.5
396,Gulai ikan paya masakan,148.0,10.0,9.8,5.0
397,Gulai kambing,126.0,4.2,9.4,6.2
398,Gulai keumamah masakan,110.0,5.9,8.2,3.2
399,Gulai pakis,143.0,4.0,11.4,6.0
400,Gulai pliek,176.0,7.3,14.9,3.2
401,Gulai tiram masakan,132.0,9.0,7.2,7.8
402,Gurame asem manis masakan,192.0,12.7,10.1,12.7
403,Gurandil,218.0,0.5,2.5,48.5
404,Ham,389.0,16.9,35.0,0.3
405,Hangop,65.0,10.0,1.0,3.5
406,Hati Babi,134.0,19.7,4.8,1.7
407,Hati Sapi,136.0,19.7,3.2,6.0
408,Havermout,390.0,14.2,7.4,68.2
409,Hofa/Ubi hutan segar,127.0,1.2,0.5,29.5
410,Ikan asar merah masakan,146.0,17.7,5.9,5.6
411,Ikan Asin bilis goreng,380.0,33.6,27.5,0.0
412,Ikan Asin gabus goreng,456.0,46.5,24.4,0.0
413,Ikan Asin japuh goreng,348.0,18.7,29.5,0.0
414,Ikan Asin kering,193.0,42.0,1.5,0.0
415,Ikan Asin pari goreng,430.0,58.2,23.6,0.0
416,Ikan Asin pepetek goreng,652.0,40.4,54.3,0.0
417,Ikan Asin sirinding goreng,319.0,6.9,31.7,0.0
418,Ikan Asin teri goreng,430.0,33.4,32.4,0.0
419,Ikan Bader (Tawes),198.0,19.0,13.0,0.0
420,Ikan balong segar,107.0,16.5,3.9,1.5
421,Ikan bambangan segar,112.0,20.0,1.3,3.7
422,Ikan Bandeng,129.0,20.0,4.8,0.0
423,Ikan bandeng presto masakan,296.0,17.1,20.3,11.3
424,Ikan banjar segar,111.0,19.4,0.9,4.8
425,Ikan baronang segar,78.0,14.5,0.6,3.7
426,Ikan baung bakar,144.0,17.8,5.8,5.2
427,Ikan baung segar,123.0,15.1,5.5,3.3
428,Ikan Bawal,96.0,19.0,1.7,0.0
429,Ikan Bekasang,138.0,14.0,0.7,7.4
430,Ikan Belida bakar,128.0,18.0,3.0,7.2
431,Ikan Belida segar,80.0,14.7,1.4,2.2
432,Ikan Belut Segar goreng,417.0,25.9,19.4,32.0
433,Ikan Belut Segar mentah,82.0,6.7,1.0,10.9
434,Ikan Beunteur,66.0,14.0,0.0,0.0
435,Ikan biawan segar,90.0,14.9,2.5,2.1
436,Ikan bili segar,88.0,14.2,0.7,6.2
437,Ikan bubara segar,100.0,14.7,2.4,4.9
438,Ikan bulan-bulan segar,134.0,25.5,1.3,5.0
439,Ikan cakalang asap mentah,204.0,34.2,5.6,1.9
440,Ikan cakalang asin mentah,198.0,36.5,2.2,5.5
441,Ikan cakalang hati segar,120.0,11.3,3.9,10.0
442,Ikan cakalang jantung segar,116.0,11.2,1.2,10.2
443,Ikan cakalang perut segar,86.0,10.2,1.1,8.7
444,Ikan cakalang segar,107.0,19.6,0.7,5.5
445,Ikan calo/ peda mentah,81.0,11.4,1.9,3.8
446,Ikan daun segar,101.0,11.5,4.1,4.6
447,Ikan Ekor Kuning,109.0,17.0,4.0,0.0
448,Ikan Gabus asap mentah,261.0,38.1,2.3,21.9
449,Ikan Gabus kering,292.0,58.0,4.0,0.0
450,Ikan Gabus segar,74.0,25.2,1.7,0.0
451,Ikan gete goreng,267.0,23.1,19.4,0.2
452,Ikan hitam segar,101.0,10.3,3.7,6.7
453,Ikan hiu kering,298.0,46.3,3.6,20.2
454,Ikan hiu segar,57.0,10.7,0.3,2.2
455,Ikan kacangan segar,77.0,15.6,0.9,1.6
456,Ikan kakap segar,92.0,20.0,0.7,0.0
457,Ikan kakatua segar,82.0,11.4,1.2,6.4
458,Ikan kapar segar,132.0,17.0,6.7,0.8
459,Ikan katombo asin,162.0,31.7,2.8,0.3
460,Ikan kawalinya segar,110.0,12.6,4.2,5.4
461,Ikan kayu kering,302.0,70.7,1.9,0.4
462,Ikan Kembung,103.0,22.0,1.0,0.0
463,Ikan kima segar,70.0,10.8,0.7,5.2
464,Ikan Lais bakar,147.0,17.5,6.5,5.4
465,Ikan Layang,109.0,22.0,1.7,0.0
466,Ikan layur segar,82.0,18.0,1.0,0.4
467,Ikan lehoma segar,90.0,20.4,0.9,0.0
468,Ikan Lele goreng,252.0,19.9,19.1,0.0
469,Ikan Lemuru,112.0,20.0,3.0,0.0
470,Ikan lidah segar,104.0,15.6,3.2,2.0
471,Ikan lomak asin mentah,258.0,40.3,2.3,18.9
472,Ikan malalugis segar,99.0,20.6,1.4,0.9
473,Ikan Mas,86.0,16.0,2.0,0.0
474,Ikan Mas goreng,188.0,19.3,12.2,0.0
475,Ikan Mas pepes,209.0,15.2,11.3,11.8
476,Ikan mayong segar,97.0,17.9,2.0,0.4
477,Ikan Mujair dendeng goreng,598.0,74.3,26.9,9.2
478,Ikan Mujair dendeng mentah,582.0,68.3,15.2,37.2
479,Ikan Mujair goreng,416.0,46.9,23.9,0.0
480,Ikan Mujair pepes,121.0,21.7,2.8,0.8
481,Ikan Mujair segar,89.0,18.7,1.0,0.0
482,Ikan nasu metti segar,154.0,16.8,5.0,10.5
483,Ikan oci kembung segar,125.0,21.3,3.4,2.2
484,Ikan Papuyu bakar,152.0,17.6,6.1,6.7
